code, region
null,Unknown
1199,Еврейская автономная область
1198,Республика Саха (Якутия)
1197,Чувашская Республика - Чувашия
1196,Чеченская Республика
1195,Республика Хакасия
1194,Удмуртская Республика
1193,Республика Тыва
1192,Республика Татарстан
1191,Карачаево-Черкесская Республика
1190,Республика Северная Осетия-Алания
1189,Республика Мордовия
1188,Республика Марий Эл
1187,Республика Коми
1186,Республика Карелия
1185,Республика Калмыкия
1184,Республика Алтай
1183,Кабардино-Балкарская Республика
1182,Республика Дагестан
1181,Республика Бурятия
1180,Республика Башкортостан
1179,Республика Адыгея
1178,Ярославская область
1177,Чукотский автономный округ
1176,Забайкальский край
1175,Челябинская область
1174,Республика Ингушетия
1173,Ульяновская область
1172,Ямало-Ненецкий автономный округ
1171,Тюменская область
1170,Тульская область
1169,Томская область
1168,Тамбовская область
1166,Смоленская область
1165,Свердловская область
1164,Сахалинская область
1163,Саратовская область
1162,Ханты-Мансийский автономный округ
1161,Рязанская область
1160,Ростовская область
1158,Псковская область
1157,Пермский край
1156,Пензенская область
1154,Орловская область
1153,Оренбургская область
1152,Омская область
1150,Новосибирская область
1149,Новгородская область
1147,Мурманская область
1146,Московская область
1145,Москва
1144,Магаданская область
1142,Липецкая область
1141,Ленинградская область
1140,Санкт-Петербург
1138,Курская область
1137,Курганская область
1136,Самарская область
1134,Костромская область
1133,Кировская область
1132,Кемеровская область
1130,Камчатский край
1129,Калужская область
1128,Тверская область
1127,Калининградская область
1125,Иркутская область
1124,Ивановская область
1122,Нижегородская область
1120,Воронежская область
1119,Вологодская область
1118,Волгоградская область
1117,Владимирская область
1115,Брянская область
1114,Белгородская область
1112,Астраханская область
1111,Архангельская область
1110,Амурская область
1109,Республика Крым
1108,Хабаровский край
1107,Ставропольский край
1106,Севастополь
1105,Приморский край
1104,Красноярский край
1103,Краснодарский край
1101,Алтайский край
